"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","804","Успешная авторизация курьера","tests","2026-04-12","failed","2026-04-12","TestCourierLogin","test_courier_login","",""
"","379","Ошибка при отсутствии поля: password","tests","2026-04-12","failed","2026-04-12","TestCourierLogin","test_courier_login","",""
"","778","Ошибка при неверном пароле","tests","2026-04-12","failed","2026-04-12","TestCourierLogin","test_courier_login","",""
"","10432","Получение списка заказов","tests","2026-04-12","broken","2026-04-12","TestOrdersList","test_orders_list","",""
"","375","Ошибка при отсутствии поля: login","tests","2026-04-12","failed","2026-04-12","TestCourierLogin","test_courier_login","",""
"","0","Создание заказа с цветом: ['GREY']","tests","2026-04-12","failed","2026-04-12","TestOrderCreation","test_order_creation","",""
"","397","Ошибка при отсутствии обязательного поля: firstName","tests","2026-04-12","failed","2026-04-12","TestCourierCreation","test_courier_creation","",""
"","371","Ошибка при отсутствии обязательного поля: login","tests","2026-04-12","failed","2026-04-12","TestCourierCreation","test_courier_creation","",""
"","391","Ошибка при отсутствии обязательного поля: password","tests","2026-04-12","failed","2026-04-12","TestCourierCreation","test_courier_creation","",""
"","0","Создание заказа с цветом: ['BLACK']","tests","2026-04-12","failed","2026-04-12","TestOrderCreation","test_order_creation","",""
"","859","Попытка создания курьера с существующим логином","tests","2026-04-12","passed","2026-04-12","TestCourierCreation","test_courier_creation","",""
"","0","Создание заказа с цветом: ['BLACK', 'GREY']","tests","2026-04-12","failed","2026-04-12","TestOrderCreation","test_order_creation","",""
"","554","Успешное создание курьера","tests","2026-04-12","passed","2026-04-12","TestCourierCreation","test_courier_creation","",""
"","0","Создание заказа без указания цвета","tests","2026-04-12","failed","2026-04-12","TestOrderCreation","test_order_creation","",""
"","373","Ошибка при авторизации несуществующего курьера","tests","2026-04-12","failed","2026-04-12","TestCourierLogin","test_courier_login","",""
